lowercase_basename,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
frame_000443s.jpg,2,obama/batch_001/frame_000443s.jpg,frame_000443s.jpg,obama,batch_001
frame_000444s.jpg,2,diyas/batch_001/frame_000444s.jpg,frame_000444s.jpg,diyas,batch_001
frame_000444s.jpg,2,obama/batch_001/frame_000444s.jpg,frame_000444s.jpg,obama,batch_001
frame_000445s.jpg,2,diyas/batch_001/frame_000445s.jpg,frame_000445s.jpg,diyas,batch_001
frame_000445s.jpg,2,obama/batch_001/frame_000445s.jpg,frame_000445s.jpg,obama,batch_001
frame_000446s.jpg,2,diyas/batch_001/frame_000446s.jpg,frame_000446s.jpg,diyas,batch_001
frame_000446s.jpg,2,obama/batch_001/frame_000446s.jpg,frame_000446s.jpg,obama,batch_001
frame_000447s.jpg,2,diyas/batch_001/frame_000447s.jpg,frame_000447s.jpg,diyas,batch_001
frame_000447s.jpg,2,obama/batch_001/frame_000447s.jpg,frame_000447s.jpg,obama,batch_001
frame_000448s.jpg,2,diyas/batch_001/frame_000448s.jpg,frame_000448s.jpg,diyas,batch_001
frame_000448s.jpg,2,obama/batch_001/frame_000448s.jpg,frame_000448s.jpg,obama,batch_001
frame_000449s.jpg,2,diyas/batch_001/frame_000449s.jpg,frame_000449s.jpg,diyas,batch_001
frame_000449s.jpg,2,obama/batch_001/frame_000449s.jpg,frame_000449s.jpg,obama,batch_001
frame_000450s.jpg,2,diyas/batch_001/frame_000450s.jpg,frame_000450s.jpg,diyas,batch_001
frame_000450s.jpg,2,obama/batch_001/frame_000450s.jpg,frame_000450s.jpg,obama,batch_001
frame_000451s.jpg,2,diyas/batch_001/frame_000451s.jpg,frame_000451s.jpg,diyas,batch_001
frame_000451s.jpg,2,obama/batch_001/frame_000451s.jpg,frame_000451s.jpg,obama,batch_001
frame_000452s.jpg,2,diyas/batch_001/frame_000452s.jpg,frame_000452s.jpg,diyas,batch_001
frame_000452s.jpg,2,obama/batch_001/frame_000452s.jpg,frame_000452s.jpg,obama,batch_001
frame_000453s.jpg,2,diyas/batch_001/frame_000453s.jpg,frame_000453s.jpg,diyas,batch_001
frame_000453s.jpg,2,obama/batch_001/frame_000453s.jpg,frame_000453s.jpg,obama,batch_001
frame_000454s.jpg,2,diyas/batch_001/frame_000454s.jpg,frame_000454s.jpg,diyas,batch_001
frame_000454s.jpg,2,obama/batch_001/frame_000454s.jpg,frame_000454s.jpg,obama,batch_001
frame_000455s.jpg,2,diyas/batch_001/frame_000455s.jpg,frame_000455s.jpg,diyas,batch_001
frame_000455s.jpg,2,obama/batch_001/frame_000455s.jpg,frame_000455s.jpg,obama,batch_001
frame_000456s.jpg,2,diyas/batch_001/frame_000456s.jpg,frame_000456s.jpg,diyas,batch_001
frame_000456s.jpg,2,obama/batch_001/frame_000456s.jpg,frame_000456s.jpg,obama,batch_001
