normalized_numeric_suffix,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
1136,2,obama/batch_001/frame_001136s.jpg,frame_001136s.jpg,obama,batch_001
1137,2,diyas/batch_002/frame_001137s.jpg,frame_001137s.jpg,diyas,batch_002
1137,2,obama/batch_001/frame_001137s.jpg,frame_001137s.jpg,obama,batch_001
1138,2,diyas/batch_002/frame_001138s.jpg,frame_001138s.jpg,diyas,batch_002
1138,2,obama/batch_001/frame_001138s.jpg,frame_001138s.jpg,obama,batch_001
1139,2,diyas/batch_002/frame_001139s.jpg,frame_001139s.jpg,diyas,batch_002
1139,2,obama/batch_001/frame_001139s.jpg,frame_001139s.jpg,obama,batch_001
1140,2,diyas/batch_002/frame_001140s.jpg,frame_001140s.jpg,diyas,batch_002
1140,2,obama/batch_001/frame_001140s.jpg,frame_001140s.jpg,obama,batch_001
1141,2,diyas/batch_002/frame_001141s.jpg,frame_001141s.jpg,diyas,batch_002
1141,2,obama/batch_001/frame_001141s.jpg,frame_001141s.jpg,obama,batch_001
1142,2,diyas/batch_002/frame_001142s.jpg,frame_001142s.jpg,diyas,batch_002
1142,2,obama/batch_001/frame_001142s.jpg,frame_001142s.jpg,obama,batch_001
1143,2,diyas/batch_002/frame_001143s.jpg,frame_001143s.jpg,diyas,batch_002
1143,2,obama/batch_001/frame_001143s.jpg,frame_001143s.jpg,obama,batch_001
1144,2,diyas/batch_002/frame_001144s.jpg,frame_001144s.jpg,diyas,batch_002
1144,2,obama/batch_001/frame_001144s.jpg,frame_001144s.jpg,obama,batch_001
1145,2,diyas/batch_002/frame_001145s.jpg,frame_001145s.jpg,diyas,batch_002
1145,2,obama/batch_001/frame_001145s.jpg,frame_001145s.jpg,obama,batch_001
1146,2,diyas/batch_002/frame_001146s.jpg,frame_001146s.jpg,diyas,batch_002
1146,2,obama/batch_001/frame_001146s.jpg,frame_001146s.jpg,obama,batch_001
1147,2,diyas/batch_002/frame_001147s.jpg,frame_001147s.jpg,diyas,batch_002
1147,2,obama/batch_001/frame_001147s.jpg,frame_001147s.jpg,obama,batch_001
1148,2,diyas/batch_002/frame_001148s.jpg,frame_001148s.jpg,diyas,batch_002
1148,2,obama/batch_001/frame_001148s.jpg,frame_001148s.jpg,obama,batch_001
1149,2,diyas/batch_002/frame_001149s.jpg,frame_001149s.jpg,diyas,batch_002
1149,2,obama/batch_001/frame_001149s.jpg,frame_001149s.jpg,obama,batch_001
1150,2,diyas/batch_002/frame_001150s.jpg,frame_001150s.jpg,diyas,batch_002
1150,2,obama/batch_001/frame_001150s.jpg,frame_001150s.jpg,obama,batch_001
1152,2,diyas/batch_002/frame_001152s.jpg,frame_001152s.jpg,diyas,batch_002
1152,2,obama/batch_001/frame_001152s.jpg,frame_001152s.jpg,obama,batch_001
1153,2,diyas/batch_002/frame_001153s.jpg,frame_001153s.jpg,diyas,batch_002
1153,2,obama/batch_001/frame_001153s.jpg,frame_001153s.jpg,obama,batch_001
1154,2,diyas/batch_002/frame_001154s.jpg,frame_001154s.jpg,diyas,batch_002
1154,2,obama/batch_001/frame_001154s.jpg,frame_001154s.jpg,obama,batch_001
1155,2,diyas/batch_002/frame_001155s.jpg,frame_001155s.jpg,diyas,batch_002
1155,2,obama/batch_001/frame_001155s.jpg,frame_001155s.jpg,obama,batch_001
1156,2,diyas/batch_002/frame_001156s.jpg,frame_001156s.jpg,diyas,batch_002
1156,2,obama/batch_001/frame_001156s.jpg,frame_001156s.jpg,obama,batch_001
1157,2,diyas/batch_002/frame_001157s.jpg,frame_001157s.jpg,diyas,batch_002
1157,2,obama/batch_001/frame_001157s.jpg,frame_001157s.jpg,obama,batch_001
1158,2,diyas/batch_002/frame_001158s.jpg,frame_001158s.jpg,diyas,batch_002
1158,2,obama/batch_001/frame_001158s.jpg,frame_001158s.jpg,obama,batch_001
1159,2,diyas/batch_002/frame_001159s.jpg,frame_001159s.jpg,diyas,batch_002
1159,2,obama/batch_001/frame_001159s.jpg,frame_001159s.jpg,obama,batch_001
1160,2,diyas/batch_002/frame_001160s.jpg,frame_001160s.jpg,diyas,batch_002
1160,2,obama/batch_001/frame_001160s.jpg,frame_001160s.jpg,obama,batch_001
1161,2,diyas/batch_002/frame_001161s.jpg,frame_001161s.jpg,diyas,batch_002
1161,2,obama/batch_001/frame_001161s.jpg,frame_001161s.jpg,obama,batch_001
1162,2,diyas/batch_002/frame_001162s.jpg,frame_001162s.jpg,diyas,batch_002
